Chamber,DB,DB output,DB host,DB address,MB,MB host,MB address,MB channel, Primary Port, Primary Addr
'ME+1/3/01',108,2,1,6,29,0,0,7,1,1
'ME+1/3/02',108,1,1,6,29,0,0,7,1,1
'ME+1/3/03',31,2,2,14,42,0,5,2,1,1
'ME+1/3/04',31,1,2,14,42,0,5,2,1,1
'ME+1/3/05',79,2,2,13,42,0,5,5,1,1
'ME+1/3/06',79,1,2,13,42,0,5,5,1,1
'ME+1/3/07',85,2,2,12,42,0,5,6,1,1
'ME+1/3/08',85,1,2,12,42,0,5,6,1,1
'ME+1/3/09',8,2,2,11,45,0,4,0,1,1
'ME+1/3/10',8,1,2,11,45,0,4,0,1,1
'ME+1/3/11',86,2,2,10,42,0,5,1,1,1
'ME+1/3/12',86,1,2,10,42,0,5,1,1,1
'ME+1/3/13',78,2,2,9,42,0,5,0,1,1
'ME+1/3/14',78,1,2,9,42,0,5,0,1,1
'ME+1/3/15',128,2,1,1,42,0,5,4,1,1
'ME+1/3/16',128,1,1,1,42,0,5,4,1,1
'ME+1/3/17',30,2,1,2,42,0,5,7,1,1
'ME+1/3/18',30,1,1,2,42,0,5,7,1,1
'ME+1/3/19',44,2,1,3,42,0,5,3,1,1
'ME+1/3/20',44,1,1,3,42,0,5,3,1,1
'ME+1/3/21',25,2,3,14,29,0,0,6,1,1
'ME+1/3/22',25,1,3,14,29,0,0,6,1,1
'ME+1/3/23',55,2,3,13,29,0,0,4,1,1
'ME+1/3/24',55,1,3,13,29,0,0,4,1,1
'ME+1/3/25',142,2,3,12,33,0,2,0,1,1
'ME+1/3/26',142,1,3,12,33,0,2,0,1,1
'ME+1/3/27',40,2,3,11,33,0,2,4,1,1
'ME+1/3/28',40,1,3,11,33,0,2,4,1,1
'ME+1/3/29',83,2,3,10,33,0,2,2,1,1
'ME+1/3/30',83,1,3,10,33,0,2,2,1,1
'ME+1/3/31',90,2,3,9,33,0,2,3,1,1
'ME+1/3/32',90,1,3,9,33,0,2,3,1,1
'ME+1/3/33',96,2,1,4,33,0,2,5,1,1
'ME+1/3/34',96,1,1,4,33,0,2,5,1,1
'ME+1/3/35',3,2,1,5,29,0,0,0,1,1
'ME+1/3/36',3,1,1,5,29,0,0,0,1,1
'ME+1/2/01',113,2,3,15,6,0,1,2,1,1
'ME+1/2/02',113,1,3,15,6,0,1,2,1,1
'ME+1/2/03',10,2,2,8,28,0,3,1,1,1
'ME+1/2/04',10,1,2,8,28,0,3,1,1,1
'ME+1/2/05',148,2,2,7,45,0,4,3,1,1
'ME+1/2/06',148,1,2,7,45,0,4,3,1,1
'ME+1/2/07',116,2,2,6,45,0,4,4,1,1
'ME+1/2/08',116,1,2,6,45,0,4,4,1,1
'ME+1/2/09',104,2,2,5,45,0,4,1,1,1
'ME+1/2/10',104,1,2,5,45,0,4,1,1,1
'ME+1/2/11',41,2,2,4,45,0,4,5,1,1
'ME+1/2/12',41,1,2,4,45,0,4,5,1,1
'ME+1/2/13',23,2,2,3,45,0,4,2,1,1
'ME+1/2/14',23,1,2,3,45,0,4,2,1,1
'ME+1/2/15',134,2,2,2,45,0,4,6,1,1
'ME+1/2/16',134,1,2,2,45,0,4,6,1,1
'ME+1/2/17',39,2,2,1,45,0,4,7,1,1
'ME+1/2/18',39,1,2,1,45,0,4,7,1,1
'ME+1/2/19',69,2,2,15,28,0,3,0,1,1
'ME+1/2/20',69,1,2,15,28,0,3,0,1,1
'ME+1/2/21',59,2,3,8,6,0,1,5,1,1
'ME+1/2/22',59,1,3,8,6,0,1,5,1,1
'ME+1/2/23',145,2,3,7,6,0,1,4,1,1
'ME+1/2/24',145,1,3,7,6,0,1,4,1,1
'ME+1/2/25',72,2,3,6,6,0,1,1,1,1
'ME+1/2/26',72,1,3,6,6,0,1,1,1,1
'ME+1/2/27',137,2,3,5,29,0,0,3,1,1
'ME+1/2/28',137,1,3,5,29,0,0,3,1,1
'ME+1/2/29',28,2,3,4,29,0,0,1,1,1
'ME+1/2/30',28,1,3,4,29,0,0,1,1,1
'ME+1/2/31',111,2,3,3,33,0,2,1,1,1
'ME+1/2/32',97,1,3,2,29,0,0,5,1,1
'ME+1/2/33',97,2,3,2,29,0,0,5,1,1
'ME+1/2/34',111,1,3,3,33,0,2,1,1,1
'ME+1/2/35',57,2,3,1,6,0,1,0,1,1
'ME+1/2/36',57,1,3,1,6,0,1,0,1,1
'ME+2/2/01',303,1,6,5,22,4,2,2,1,2
'ME+2/2/02',432,1,6,4,22,4,2,3,1,2
'ME+2/2/03',410,1,6,3,20,4,1,2,1,2
'ME+2/2/04',275,1,6,2,20,4,1,1,1,2
'ME+2/2/05',409,1,6,1,20,4,1,0,1,2
'ME+2/2/06',329,1,7,9,5,4,4,6,1,2
'ME+2/2/07',428,1,7,8,20,4,1,4,1,2
'ME+2/2/08',413,1,7,7,20,4,1,5,1,2
'ME+2/2/09',366,1,7,6,20,4,1,3,1,2
'ME+2/2/10',352,1,7,5,5,4,4,4,1,2
'ME+2/2/11',401,1,7,4,5,4,4,1,1,2
'ME+2/2/12',327,1,7,3,5,4,4,5,1,2
'ME+2/2/13',377,1,7,2,5,4,4,2,1,2
'ME+2/2/14',322,1,7,1,5,4,4,3,1,2
'ME+2/2/33',291,1,6,8,22,4,2,5,1,2
'ME+2/2/34',281,1,6,9,22,4,2,4,1,2
'ME+2/2/35',433,1,6,7,22,4,2,6,1,2
'ME+2/2/36',358,1,6,6,22,4,2,1,1,2
'ME+2/1/01',50,1,5,6,19,4,5,2,1,2
'ME+2/1/02',9,1,5,5,19,4,5,5,1,2
'ME+2/1/03',68,1,5,4,19,4,5,7,1,2
'ME+2/1/04',129,1,5,3,19,4,5,3,1,2
'ME+2/1/05',65,1,5,2,19,4,5,4,1,2
'ME+2/1/06',112,1,5,1,19,4,5,6,1,2
'ME+2/1/07',159,1,5,15,5,4,4,0,1,2
'ME+2/1/17',119,1,5,8,19,4,5,1,1,2
'ME+2/1/18',132,1,5,7,19,4,5,0,1,2
'ME+3/2/01',286,1,6,15,22,4,2,0,1,2
'ME+3/2/02',312,1,6,14,37,4,3,4,1,2
'ME+3/2/03',298,1,5,12,37,4,3,7,1,2
'ME+3/2/04',278,1,5,13,37,4,3,6,1,2
'ME+3/2/05',289,1,5,14,37,4,3,3,1,2
'ME+3/2/06',282,1,7,11,20,4,1,7,1,2
'ME+3/2/07',300,1,7,10,38,4,0,3,1,2
'ME+3/2/08',408,1,7,12,38,4,0,0,1,2
'ME+3/2/09',266,1,7,13,20,4,1,6,1,2
'ME+3/2/10',333,1,7,14,38,4,0,5,1,2
'ME+3/2/11',423,1,7,15,38,4,0,6,1,2
'ME+3/2/12',438,1,5,9,38,4,0,4,1,2
'ME+3/2/13',308,1,5,10,38,4,0,2,1,2
'ME+3/2/14',440,1,5,11,38,4,0,1,1,2
'ME+3/2/33',405,1,6,10,37,4,3,5,1,2
'ME+3/2/34',340,1,6,11,37,4,3,0,1,2
'ME+3/2/35',302,1,6,12,37,4,3,2,1,2
'ME+3/2/36',435,1,6,13,37,4,3,1,1,2
'ME+3/1/01',50,2,5,6,19,4,5,2,1,2
'ME+3/1/02',9,2,5,5,19,4,5,5,1,2
'ME+3/1/03',68,2,5,4,19,4,5,7,1,2
'ME+3/1/04',129,2,5,3,19,4,5,3,1,2
'ME+3/1/05',65,2,5,2,19,4,5,4,1,2
'ME+3/1/06',112,2,5,1,19,4,5,6,1,2
'ME+3/1/07',159,2,5,15,5,4,4,0,1,2
'ME+3/1/17',119,2,5,8,19,4,5,1,1,2
'ME+3/1/18',132,2,5,7,19,4,5,0,1,2
'ME+2/2/15',259,1,10,9,11,8,1,3,1,3
'ME+2/2/16',317,1,10,8,39,8,4,6,1,3
'ME+2/2/17',260,1,10,7,39,8,4,3,1,3
'ME+2/2/18',313,1,10,6,39,8,4,5,1,3
'ME+2/2/19',338,1,10,5,39,8,4,4,1,3
'ME+2/2/20',294,1,10,4,31,8,5,6,1,3
'ME+2/2/21',315,1,10,3,7,8,2,3,1,3
'ME+2/2/22',304,1,10,2,39,8,4,1,1,3
'ME+2/2/23',314,1,10,1,39,8,4,2,1,3
'ME+2/2/24',411,1,11,15,11,8,1,2,1,3
'ME+2/2/25',424,1,11,14,25,8,0,0,1,3
'ME+2/2/26',283,1,11,13,25,8,0,1,1,3
'ME+2/2/27',318,1,11,12,11,8,1,7,1,3
'ME+2/2/28',258,1,11,11,25,8,0,2,1,3
'ME+2/2/29',384,1,11,10,7,8,2,0,1,3
'ME+2/2/30',263,1,9,13,16,8,3,3,1,3
'ME+2/2/31',391,1,9,14,16,8,3,7,1,3
'ME+2/2/32',288,1,9,15,16,8,3,6,1,3
'ME+2/1/08',156,1,9,1,11,8,1,0,1,3
'ME+2/1/09',124,1,9,2,31,8,5,7,1,3
'ME+2/1/10',110,1,9,3,31,8,5,5,1,3
'ME+2/1/11',151,1,9,4,39,8,4,0,1,3
'ME+2/1/12',133,1,9,5,31,8,5,4,1,3
'ME+2/1/13',122,1,9,6,31,8,5,0,1,3
'ME+2/1/14',66,1,9,7,31,8,5,2,1,3
'ME+2/1/15',136,1,9,8,31,8,5,1,1,3
'ME+2/1/16',103,1,9,9,31,8,5,3,1,3
'ME+3/2/15',383,1,10,15,11,8,1,1,1,3
'ME+3/2/16',287,1,10,14,11,8,1,6,1,3
'ME+3/2/17',419,1,10,13,11,8,1,4,1,3
'ME+3/2/18',403,1,10,12,11,8,1,5,1,3
'ME+3/2/19',437,1,10,11,16,8,3,2,1,3
'ME+3/2/20',285,1,10,10,16,8,3,1,1,3
'ME+3/2/21',267,1,9,10,16,8,3,5,1,3
'ME+3/2/22',280,1,9,11,16,8,3,4,1,3
'ME+3/2/23',367,1,9,12,16,8,3,0,1,3
'ME+3/2/24',388,1,11,8,25,8,0,5,1,3
'ME+3/2/25',311,1,11,9,25,8,0,6,1,3
'ME+3/2/26',357,1,11,7,25,8,0,4,1,3
'ME+3/2/27',417,1,11,6,25,8,0,3,1,3
'ME+3/2/28',361,1,11,5,7,8,2,2,1,3
'ME+3/2/29',362,1,11,4,7,8,2,1,1,3
'ME+3/2/30',356,1,11,3,7,8,2,6,1,3
'ME+3/2/31',365,1,11,2,7,8,2,5,1,3
'ME+3/2/32',429,1,11,1,7,8,2,4,1,3
'ME+3/1/08',156,2,9,1,11,8,1,0,1,3
'ME+3/1/09',124,2,9,2,31,8,5,7,1,3
'ME+3/1/10',110,2,9,3,31,8,5,5,1,3
'ME+3/1/11',151,2,9,4,39,8,4,0,1,3
'ME+3/1/12',133,2,9,5,31,8,5,4,1,3
'ME+3/1/13',122,2,9,6,31,8,5,0,1,3
'ME+3/1/14',66,2,9,7,31,8,5,2,1,3
'ME+3/1/15',136,2,9,8,31,8,5,1,1,3
'ME+3/1/16',103,2,9,9,31,8,5,3,1,3
'ME+4/2/09',343,1,13,14,50,12,0,3,1,4
'ME+4/2/10',323,1,13,11,50,12,0,5,1,4
'ME+4/2/11',425,1,13,12,50,12,0,2,1,4
'ME+4/2/12',330,1,13,13,50,12,0,6,1,4
'ME+4/2/13',297,1,13,10,50,12,0,4,1,4
'ME+4/1/01',20,2,13,9,50,12,0,0,1,4
'ME+4/1/02',20,1,13,9,50,12,0,0,1,4
'ME+4/1/03',130,2,13,1,34,12,1,7,1,4
'ME+4/1/04',130,1,13,1,34,12,1,7,1,4
'ME+4/1/05',107,2,13,2,34,12,1,3,1,4
'ME+4/1/06',107,1,13,2,34,12,1,3,1,4
'ME+4/1/07',75,2,13,3,34,12,1,4,1,4
'ME+4/1/08',75,1,13,3,34,12,1,4,1,4
'ME+4/1/09',114,2,13,4,34,12,1,5,1,4
'ME+4/1/10',114,1,13,4,34,12,1,5,1,4
'ME+4/1/11',126,2,13,5,34,12,1,0,1,4
'ME+4/1/12',126,1,13,5,34,12,1,0,1,4
'ME+4/1/13',81,2,13,6,34,12,1,1,1,4
'ME+4/1/14',81,1,13,6,34,12,1,1,1,4
'ME+4/1/15',80,2,13,7,34,12,1,2,1,4
'ME+4/1/16',80,1,13,7,34,12,1,2,1,4
'ME+4/1/17',100,2,13,8,34,12,1,6,1,4
'ME+4/1/18',100,1,13,8,34,12,1,6,1,4
