Chamber,DB,DB output,DB host,DB address,MB,MB host,MB address,MB channel, Primary Port, Primary Addr
'ME-1/3/01',101,2,1,6,26,0,1,0,1,1
'ME-1/3/02',101,1,1,6,26,0,1,0,1,1
'ME-1/3/03',63,2,3,15,48,0,4,5,1,1
'ME-1/3/04',63,1,3,15,48,0,4,5,1,1
'ME-1/3/05',46,2,3,14,32,0,3,3,1,1
'ME-1/3/06',46,1,3,14,32,0,3,3,1,1
'ME-1/3/07',62,2,3,13,32,0,3,2,1,1
'ME-1/3/08',62,1,3,13,32,0,3,2,1,1
'ME-1/3/09',5,2,3,12,32,0,3,4,1,1
'ME-1/3/10',5,1,3,12,32,0,3,4,1,1
'ME-1/3/11',56,1,3,11,32,0,3,5,1,1
'ME-1/3/12',56,2,3,11,32,0,3,5,1,1
'ME-1/3/13',45,2,3,10,21,0,0,3,1,1
'ME-1/3/14',45,1,3,10,21,0,0,3,1,1
'ME-1/3/15',49,2,1,1,21,0,0,2,1,1
'ME-1/3/16',49,1,1,1,21,0,0,2,1,1
'ME-1/3/17',135,2,1,2,21,0,0,1,1,1
'ME-1/3/18',135,1,1,2,21,0,0,1,1,1
'ME-1/3/19',89,2,1,3,21,0,0,4,1,1
'ME-1/3/20',89,1,1,3,21,0,0,4,1,1
'ME-1/3/21',17,2,2,15,48,0,4,2,1,1
'ME-1/3/22',17,1,2,15,48,0,4,2,1,1
'ME-1/3/23',58,2,2,14,48,0,4,0,1,1
'ME-1/3/24',58,1,2,14,48,0,4,0,1,1
'ME-1/3/25',115,2,2,13,48,0,4,4,1,1
'ME-1/3/26',115,1,2,13,48,0,4,4,1,1
'ME-1/3/27',71,2,2,12,48,0,4,1,1,1
'ME-1/3/28',71,1,2,12,48,0,4,1,1,1
'ME-1/3/29',64,2,2,11,48,0,4,3,1,1
'ME-1/3/30',64,1,2,11,48,0,4,3,1,1
'ME-1/3/31',146,2,2,10,26,0,1,3,1,1
'ME-1/3/32',146,1,2,10,26,0,1,3,1,1
'ME-1/3/33',87,2,1,4,26,0,1,2,1,1
'ME-1/3/34',87,1,1,4,26,0,1,2,1,1
'ME-1/3/35',33,2,1,5,26,0,1,1,1,1
'ME-1/3/36',33,1,1,5,26,0,1,1,1,1
'ME-1/2/01',154,2,2,1,26,0,1,6,1,1
'ME-1/2/02',154,1,2,1,26,0,1,6,1,1
'ME-1/2/03',161,2,3,9,30,0,2,1,1,1
'ME-1/2/04',161,1,3,9,30,0,2,1,1,1
'ME-1/2/05',2,2,3,8,32,0,3,6,1,1
'ME-1/2/06',2,1,3,8,32,0,3,6,1,1
'ME-1/2/07',92,2,3,7,32,0,3,7,1,1
'ME-1/2/08',92,1,3,7,32,0,3,7,1,1
'ME-1/2/09',123,2,3,6,30,0,2,0,1,1
'ME-1/2/10',29,1,3,5,21,0,0,5,1,1
'ME-1/2/11',29,2,3,5,21,0,0,5,1,1
'ME-1/2/12',123,1,3,6,30,0,2,0,1,1
'ME-1/2/13',93,2,3,4,21,0,0,7,1,1
'ME-1/2/14',93,1,3,4,21,0,0,7,1,1
'ME-1/2/15',162,2,3,3,21,0,0,6,1,1
'ME-1/2/16',162,1,3,3,21,0,0,6,1,1
'ME-1/2/17',14,2,3,2,14,0,5,1,1,1
'ME-1/2/18',14,1,3,2,14,0,5,1,1,1
'ME-1/2/19',48,2,3,1,14,0,5,0,1,1
'ME-1/2/20',48,1,3,1,14,0,5,0,1,1
'ME-1/2/21',74,2,2,9,32,0,3,0,1,1
'ME-1/2/22',74,1,2,9,32,0,3,0,1,1
'ME-1/2/23',144,2,2,8,48,0,4,7,1,1
'ME-1/2/24',144,1,2,8,48,0,4,7,1,1
'ME-1/2/25',47,2,2,7,48,0,4,6,1,1
'ME-1/2/26',47,1,2,7,48,0,4,6,1,1
'ME-1/2/27',70,2,2,6,32,0,3,1,1,1
'ME-1/2/28',70,1,2,6,32,0,3,1,1,1
'ME-1/2/29',43,2,2,5,26,0,1,5,1,1
'ME-1/2/30',43,1,2,5,26,0,1,5,1,1
'ME-1/2/31',77,2,2,4,21,0,0,0,1,1
'ME-1/2/32',77,1,2,4,21,0,0,0,1,1
'ME-1/2/33',153,2,2,3,26,0,1,7,1,1
'ME-1/2/34',153,1,2,3,26,0,1,7,1,1
'ME-1/2/35',149,2,2,2,26,0,1,4,1,1
'ME-1/2/36',149,1,2,2,26,0,1,4,1,1
'ME-2/2/01',293,1,6,4,40,4,1,3,1,2
'ME-2/2/02',404,1,6,2,51,4,4,1,1,2
